Institution,State,Cost,MedianDebt,MedianEarnings,UndergradSize
Alabama A & M University,AL,23751.0,16600,40628.0,5726.0
University of Alabama at Birmingham,AL,27826.0,15832,54501.0,12118.0
University of Alabama in Huntsville,AL,27098.0,13905,61767.0,6650.0
Alabama State University,AL,22028.0,17500,34502.0,3322.0
The University of Alabama,AL,32024.0,17986,59221.0,32323.0
Central Alabama Community College,AL,19815.0,5500,33506.0,1134.0
Auburn University at Montgomery,AL,21873.0,13119,44391.0,2693.0
Auburn University,AL,34402.0,17750,65337.0,25732.0
Birmingham-Southern College,AL,38385.0,16000,59481.0,713.0
Chattahoochee Valley Community College,AL,12032.0,5900,36438.0,1044.0
South University-Montgomery,AL,30704.0,13000,34421.0,302.0
Enterprise State Community College,AL,14798.0,5500,42572.0,1476.0
Coastal Alabama Community College,AL,15171.0,5500,34894.0,4714.0
Faulkner University,AL,36910.0,15000,43457.0,1555.0
Gadsden State Community College,AL,10687.0,PS,32937.0,3619.0
George C Wallace Community College-Dothan,AL,9863.0,PS,31399.0,3053.0
George C Wallace State Community College-Hanceville,AL,18748.0,8200,39842.0,4413.0
George C Wallace State Community College-Selma,AL,9505.0,PS,31598.0,828.0
Herzing University-Birmingham,AL,27195.0,11756,36909.0,445.0
Huntingdon College,AL,39686.0,20000,49601.0,865.0
J. F. Drake State Community and Technical College,AL,11908.0,PS,28281.0,719.0
Jacksonville State University,AL,23422.0,14000,45235.0,7030.0
Jefferson State Community College,AL,14384.0,4500,40719.0,5443.0
John C Calhoun State Community College,AL,12687.0,6010,38192.0,6928.0
Lawson State Community College,AL,15028.0,PS,31701.0,2720.0
University of West Alabama,AL,22402.0,13000,44232.0,2666.0
Lurleen B Wallace Community College,AL,10223.0,PS,32307.0,1122.0
Marion Military Institute,AL,18458.0,5500,59644.0,308.0
Miles College,AL,22900.0,15691,32627.0,1151.0
University of Mobile,AL,38731.0,19000,43611.0,1079.0
University of Montevallo,AL,26233.0,16000,42957.0,2087.0
Northwest Shoals Community College,AL,10894.0,5500,33828.0,1924.0
University of North Alabama,AL,22086.0,15781,45415.0,5468.0
Northeast Alabama Community College,AL,10620.0,4400,34913.0,1547.0
Oakwood University,AL,38592.0,21500,42488.0,1253.0
Reid State Technical College,AL,9066.0,PS,28982.0,365.0
Bishop State Community College,AL,11530.0,PS,29916.0,2100.0
Samford University,AL,53934.0,15750,58469.0,3828.0
Shelton State Community College,AL,16607.0,PS,35014.0,3191.0
Snead State Community College,AL,12583.0,6450,35735.0,1494.0
University of South Alabama,AL,22070.0,17750,49379.0,8540.0
Spring Hill College,AL,37172.0,21500,51500.0,850.0
Stillman College,AL,23485.0,16000,35421.0,761.0
Talladega College,AL,23441.0,15000,32229.0,782.0
H Councill Trenholm State Community College,AL,12148.0,PS,32183.0,1584.0
Troy University,AL,21816.0,15985,42062.0,10089.0
Tuskegee University,AL,41924.0,21250,49641.0,2367.0
Bevill State Community College,AL,15238.0,PS,34107.0,2189.0
University of Alaska Anchorage,AK,21848.0,11231,51871.0,6916.0
University of Alaska Fairbanks,AK,21182.0,11283,48866.0,4027.0
University of Alaska Southeast,AK,16796.0,10500,48475.0,920.0
Alaska Pacific University,AK,34964.0,12696,54271.0,400.0
Charter College,AK,31188.0,11884,35504.0,2277.0
Arizona State University Campus Immersion,AZ,28047.0,13610,62668.0,64398.0
Arizona Western College,AZ,15857.0,4500,36857.0,6198.0
University of Arizona,AZ,28543.0,13750,59979.0,40769.0
Central Arizona College,AZ,9024.0,6157,40513.0,4892.0
Cochise County Community College District,AZ,13638.0,5500,38033.0,3007.0
Eastern Arizona College,AZ,16280.0,PS,38018.0,3058.0
Embry-Riddle Aeronautical University-Prescott,AZ,60158.0,14250,84131.0,3245.0
Glendale Community College,AZ,18056.0,4500,43108.0,10180.0
Grand Canyon University,AZ,31493.0,12500,42186.0,68619.0
GateWay Community College,AZ,18316.0,4500,46147.0,3473.0
Mesa Community College,AZ,18975.0,4500,44034.0,12049.0
Mohave Community College,AZ,10952.0,8000,35522.0,2750.0
Dine College,AZ,13872.0,PS,29188.0,1507.0
Northern Arizona University,AZ,29495.0,12916,54384.0,23041.0
Northland Pioneer College,AZ,14174.0,PS,34199.0,1024.0
Phoenix College,AZ,18033.0,5250,40870.0,6952.0
Pima Community College,AZ,8916.0,4500,39810.0,13869.0
Prescott College,AZ,47228.0,12500,42359.0,253.0
Rio Salado College,AZ,13740.0,4375,41015.0,4879.0
Scottsdale Community College,AZ,19682.0,4500,47905.0,4274.0
South Mountain Community College,AZ,17872.0,4500,39825.0,2612.0
Arizona Christian University,AZ,50950.0,6251,51612.0,1127.0
Yavapai College,AZ,12642.0,6762,39890.0,3732.0
University of Arkansas at Little Rock,AR,21013.0,14500,45265.0,4740.0
Arkansas Baptist College,AR,22626.0,8250,28418.0,373.0
Lyon College,AR,44943.0,10699,44232.0,563.0
University of Arkansas,AR,26161.0,15749,58191.0,27312.0
University of Arkansas at Pine Bluff,AR,20907.0,14328,35550.0,1899.0
Arkansas State University-Beebe,AR,14799.0,5500,36603.0,1902.0
Arkansas State University,AR,22823.0,15000,42617.0,7994.0
Arkansas Tech University,AR,21536.0,11350,41766.0,5993.0
University of Arkansas at Monticello,AR,20741.0,11364,36902.0,1868.0
Baptist Health College Little Rock,AR,37054.0,9500,62244.0,512.0
Black River Technical College,AR,14624.0,6000,34818.0,938.0
University of Central Arkansas,AR,24265.0,13000,45938.0,7426.0
Central Baptist College,AR,27468.0,12876,46789.0,477.0
Cossatot Community College of the University of Arkansas,AR,11738.0,PS,33775.0,835.0
Crowley's Ridge College,AR,25817.0,13918,39533.0,162.0
East Arkansas Community College,AR,13028.0,4750,28471.0,492.0
National Park College,AR,17994.0,6250,32444.0,1706.0
University of Arkansas Community College-Batesville,AR,16591.0,7085,33706.0,788.0
Harding University,AR,36385.0,21601,52876.0,3323.0
Henderson State University,AR,25946.0,12000,43459.0,1491.0
Hendrix College,AR,52396.0,19500,60376.0,1094.0
John Brown University,AR,43260.0,17000,53907.0,1415.0
Arkansas State University Mid-South,AR,12556.0,PS,31857.0,435.0
Arkansas Northeastern College,AR,12037.0,PS,33169.0,787.0
North Arkansas College,AR,16367.0,5928,34653.0,1184.0
Northwest Technical Institute,AR,16032.0,PS,41513.0,217.0
Ouachita Baptist University,AR,45132.0,15000,51673.0,1612.0
Arkansas State University Three Rivers,AR,12748.0,6500,37374.0,514.0
Ozarka College,AR,11461.0,7713,29314.0,564.0
University of the Ozarks,AR,35391.0,11000,44384.0,753.0
University of Arkansas Community College-Morrilton,AR,17345.0,6300,34924.0,1538.0
Philander Smith University,AR,26729.0,14750,38427.0,842.0
Phillips Community College of the University of Arkansas,AR,11778.0,3500,29552.0,595.0
Southeast Arkansas College,AR,15876.0,6186,33603.0,748.0
University of Arkansas-Pulaski Technical College,AR,21096.0,7000,34722.0,3791.0
University of Arkansas Hope-Texarkana,AR,13787.0,3500,34162.0,697.0
University of Arkansas Community College Rich Mountain,AR,12933.0,4875,30037.0,475.0
Williams Baptist University,AR,32222.0,9500,38484.0,490.0
South Arkansas College,AR,12138.0,7000,34521.0,879.0
Southern Arkansas University Main Campus,AR,24721.0,12500,42386.0,2865.0
Southern Arkansas University Tech,AR,16488.0,4500,36376.0,663.0
University of Arkansas-Fort Smith,AR,18052.0,10750,41102.0,4133.0
Academy of Art University,CA,47195.0,11000,39008.0,4131.0
College of Alameda,CA,17578.0,9500,42563.0,4274.0
Allan Hancock College,CA,11544.0,7888,42786.0,7812.0
American Academy of Dramatic Arts-Los Angeles,CA,55265.0,12000,27019.0,169.0
American River College,CA,12986.0,9354,40162.0,25758.0
Antelope Valley Community College District,CA,15158.0,8619,36526.0,10905.0
Art Center College of Design,CA,71652.0,26000,71958.0,2054.0
Azusa Pacific University,CA,54735.0,19710,66677.0,2977.0
Bakersfield College,CA,13726.0,9500,37291.0,16451.0
Barstow Community College,CA,20871.0,3463,35104.0,2585.0
Biola University,CA,58430.0,19000,56778.0,3390.0
Bryan University,AZ,26688.0,13763,40283.0,2083.0
Butte College,CA,13636.0,8250,41810.0,8384.0
Cabrillo College,CA,23625.0,9500,44114.0,7404.0
California Baptist University,CA,52408.0,20500,61504.0,7914.0
California College of the Arts,CA,78664.0,19500,49414.0,1004.0
California Institute of Technology,CA,83598.0,12000,128566.0,1023.0
California Lutheran University,CA,63768.0,18970,68712.0,2374.0
California Polytechnic State University-San Luis Obispo,CA,29918.0,15396,90768.0,21521.0
California State University-Bakersfield,CA,18815.0,11270,59009.0,8183.0
California State University-Stanislaus,CA,18542.0,11750,63188.0,8564.0
California State University-San Bernardino,CA,16910.0,12445,59977.0,15771.0
California State Polytechnic University-Pomona,CA,22672.0,13437,71902.0,24271.0
California State University-Chico,CA,25590.0,14500,64172.0,13057.0
California State University-Dominguez Hills,CA,15449.0,11902,57162.0,12642.0
California State University-Fresno,CA,18650.0,12463,61244.0,21070.0
California State University-Fullerton,CA,16767.0,12000,62951.0,36956.0
California State University-East Bay,CA,22803.0,12500,71401.0,10422.0
California State University-Long Beach,CA,20310.0,12227,64403.0,34131.0
California State University-Los Angeles,CA,17153.0,11966,59211.0,21478.0
California State University-Northridge,CA,20317.0,12000,59115.0,32357.0
California State University-Sacramento,CA,22714.0,12500,64876.0,27867.0
University of California-Berkeley,CA,42708.0,12000,92446.0,33073.0
University of California-Davis,CA,38067.0,11000,80838.0,31777.0
University of California-Irvine,CA,36121.0,13820,80735.0,29494.0
University of California-Los Angeles,CA,36643.0,12983,82511.0,33040.0
University of California-Riverside,CA,34975.0,14944,67699.0,22644.0
University of California-San Diego,CA,36325.0,14778,84943.0,33787.0
University of California-Santa Barbara,CA,36776.0,11875,74915.0,23205.0
University of California-Santa Cruz,CA,38649.0,14334,68396.0,17812.0
California Institute of the Arts,CA,78425.0,16994,41198.0,881.0
California State University Maritime Academy,CA,27138.0,16889,94784.0,761.0
Canada College,CA,9514.0,9272,50087.0,4878.0
College of the Canyons,CA,10243.0,6375,49022.0,15365.0
Cerritos College,CA,8409.0,8350,41156.0,18710.0
Cerro Coso Community College,CA,15161.0,5500,34963.0,3496.0
Chabot College,CA,12953.0,8973,48143.0,10861.0
Chaffey College,CA,13553.0,4325,42975.0,13568.0
Chapman University,CA,81327.0,17750,70070.0,7629.0
Charles R Drew University of Medicine and Science,CA,33973.0,14750,83438.0,233.0
Concordia University-Irvine,CA,56500.0,19000,65083.0,1456.0
San Diego Christian College,CA,40057.0,13000,49766.0,91.0
Citrus College,CA,12412.0,5500,42065.0,8126.0
City College of San Francisco,CA,17007.0,7497,45805.0,16060.0
Claremont McKenna College,CA,82127.0,11948,104736.0,1379.0
Coastline Community College,CA,17984.0,7683,44483.0,7007.0
University of Silicon Valley,CA,36361.0,18334,51017.0,377.0
Columbia College,CA,19688.0,PS,39035.0,1917.0
California College of ASU,CA,33732.0,13167,42014.0,149.0
Compton College,CA,17782.0,6463,34181.0,2881.0
Contra Costa College,CA,14511.0,4750,40850.0,4805.0
Cosumnes River College,CA,12005.0,8563,42446.0,13527.0
Crafton Hills College,CA,18384.0,PS,42553.0,5074.0
Cuesta College,CA,20561.0,9500,46047.0,6879.0
Cuyamaca College,CA,15940.0,5136,32435.0,6788.0
Cypress College,CA,15752.0,7500,43533.0,12309.0
De Anza College,CA,13167.0,6495,56596.0,14953.0
College of the Desert,CA,20053.0,5261,39020.0,8900.0
Design Institute of San Diego,CA,42093.0,24530,46920.0,92.0
Diablo Valley College,CA,14804.0,6000,51378.0,14734.0
Dominican University of California,CA,68620.0,24250,84713.0,1178.0
East Los Angeles College,CA,18645.0,6999,42006.0,24401.0
El Camino Community College District,CA,13376.0,4750,41589.0,18994.0
Evergreen Valley College,CA,22557.0,9250,53077.0,7670.0
FIDM-Fashion Institute of Design & Merchandising,CA,53393.0,12000,49840.0,1319.0
Feather River Community College District,CA,16502.0,7000,38142.0,1574.0
Foothill College,CA,15772.0,6795,57072.0,10922.0
Fresno City College,CA,12063.0,3500,37361.0,18774.0
Fresno Pacific University,CA,42673.0,19250,58896.0,1614.0
Fullerton College,CA,16206.0,6500,43366.0,16637.0
Gavilan College,CA,10484.0,5841,47169.0,4410.0
Glendale Community College,CA,15802.0,7000,41540.0,9807.0
Golden West College,CA,12206.0,5500,43145.0,8919.0
Grossmont College,CA,11543.0,4500,40309.0,11467.0
Hartnell College,CA,12050.0,4500,44316.0,7153.0
Harvey Mudd College,CA,84896.0,19500,138687.0,915.0
California State Polytechnic University-Humboldt,CA,24412.0,14500,47626.0,5491.0
Humphreys University-Stockton and Modesto Campuses,CA,20286.0,25000,39248.0,178.0
Imperial Valley College,CA,12466.0,PS,34487.0,6881.0
Irvine Valley College,CA,11750.0,4500,49156.0,9577.0
Reedley College,CA,11413.0,3500,38493.0,4853.0
Life Pacific University,CA,33193.0,14000,43299.0,393.0
University of La Verne,CA,61564.0,21000,65464.0,3341.0
Laguna College of Art and Design,CA,56183.0,18875,47867.0,776.0
Lake Tahoe Community College,CA,17731.0,5100,36657.0,2909.0
Laney College,CA,22777.0,9301,37282.0,7158.0
Lassen Community College,CA,17063.0,5500,35994.0,1564.0
La Sierra University,CA,49365.0,18500,61824.0,1155.0
Long Beach City College,CA,12664.0,7000,38870.0,21899.0
Southern California University of Health Sciences,CA,50742.0,10950,70649.0,132.0
Los Angeles Harbor College,CA,19463.0,5795,41133.0,6496.0
Los Angeles Pierce College,CA,19844.0,12500,44521.0,13029.0
Los Angeles Southwest College,CA,14768.0,10000,32172.0,3793.0
Los Angeles Trade Technical College,CA,18516.0,9500,35233.0,10165.0
Los Angeles Valley College,CA,18625.0,9500,42678.0,12470.0
The Master's University and Seminary,CA,48682.0,16327,57106.0,1606.0
Los Angeles City College,CA,16176.0,9500,36190.0,10857.0
Los Angeles Mission College,CA,19525.0,10432,39834.0,8031.0
Los Medanos College,CA,13850.0,9326,42454.0,7100.0
Loyola Marymount University,CA,75867.0,15000,78349.0,7171.0
College of Marin,CA,23789.0,10062,42654.0,3928.0
Mendocino College,CA,16746.0,9500,40243.0,2857.0
Menlo College,CA,69879.0,13000,76419.0,811.0
Merced College,CA,12722.0,4188,37815.0,9677.0
Merritt College,CA,22559.0,9500,44392.0,5153.0
MiraCosta College,CA,15713.0,9488,43845.0,10474.0
Mission College,CA,15047.0,8816,50936.0,5557.0
Modesto Junior College,CA,14769.0,3375,42368.0,14714.0
Monterey Peninsula College,CA,21993.0,8250,42176.0,5759.0
Moorpark College,CA,9685.0,7161,49044.0,12011.0
Mt San Antonio College,CA,12077.0,5500,46283.0,25311.0
Mount Saint Mary's University,CA,64637.0,22167,72379.0,1746.0
Mt San Jacinto Community College District,CA,15091.0,7000,38319.0,14859.0
Musicians Institute,CA,41795.0,6334,32778.0,735.0
Napa Valley College,CA,21563.0,9371,49517.0,3205.0
National University,CA,37116.0,18750,67548.0,9725.0
Newschool of Architecture and Design,CA,57642.0,23618,68891.0,212.0
Occidental College,CA,80636.0,19000,75951.0,1844.0
Ohlone College,CA,22906.0,9500,54278.0,6958.0
Orange Coast College,CA,13191.0,6175,47348.0,16117.0
Otis College of Art and Design,CA,71880.0,20000,58152.0,1242.0
Oxnard College,CA,9317.0,7500,41393.0,6059.0
Hope International University,CA,51153.0,15738,49697.0,549.0
Pacific Union College,CA,47244.0,19500,70484.0,910.0
University of the Pacific,CA,68173.0,17653,78445.0,3247.0
Palo Verde College,CA,21205.0,PS,36389.0,2909.0
Palomar College,CA,13997.0,3500,42300.0,16167.0
Pasadena City College,CA,12166.0,6036,43937.0,20624.0
Pepperdine University,CA,85202.0,19500,82939.0,3629.0
Pitzer College,CA,82832.0,13000,69512.0,1191.0
Point Loma Nazarene University,CA,56664.0,19500,63998.0,3132.0
Pomona College,CA,81196.0,10000,77779.0,1638.0
Porterville College,CA,12522.0,PS,36328.0,2775.0
Santa Ana College,CA,11848.0,5500,43552.0,22011.0
University of Redlands,CA,70233.0,21250,72690.0,2095.0
College of the Redwoods,CA,12251.0,6666,36243.0,3514.0
Rio Hondo College,CA,19308.0,4750,44950.0,15365.0
Riverside City College,CA,12427.0,5500,41091.0,17361.0
Sacramento City College,CA,13062.0,9256,42214.0,16952.0
Saddleback College,CA,11792.0,6988,50874.0,15959.0
San Diego City College,CA,13255.0,4500,38503.0,10584.0
San Diego Mesa College,CA,12964.0,4500,45120.0,15899.0
San Diego Miramar College,CA,11428.0,4239,48224.0,10740.0
San Diego State University,CA,27357.0,12847,64909.0,33654.0
University of San Diego,CA,74879.0,19019,86522.0,5619.0
San Francisco State University,CA,25258.0,12923,68077.0,20033.0
University of San Francisco,CA,76421.0,19000,89812.0,5697.0
San Joaquin Delta College,CA,17137.0,7000,43212.0,13964.0
William Jessup University,CA,52172.0,14419,56257.0,1021.0
San Jose City College,CA,24038.0,5500,46215.0,7039.0
San Jose State University,CA,25695.0,12000,78988.0,26757.0
College of San Mateo,CA,11875.0,6875,54172.0,7359.0
Santa Barbara City College,CA,18682.0,8250,47647.0,10070.0
Santa Clara University,CA,77768.0,16845,109183.0,6235.0
Santa Monica College,CA,11353.0,6500,42193.0,21194.0
Santa Rosa Junior College,CA,13649.0,7250,47224.0,14327.0
Scripps College,CA,83330.0,11853,77539.0,1077.0
College of the Sequoias,CA,8553.0,4500,39092.0,10752.0
Shasta College,CA,11881.0,9500,39269.0,5536.0
Sierra College,CA,12628.0,9500,45294.0,13455.0
Simpson University,CA,52366.0,13000,54340.0,751.0
College of the Siskiyous,CA,14448.0,8000,39098.0,1080.0
Skyline College,CA,10461.0,7500,55702.0,7132.0
San Bernardino Valley College,CA,14655.0,3938,39676.0,11106.0
Saint Mary's College of California,CA,73655.0,19500,78812.0,2024.0
Solano Community College,CA,11440.0,9500,44170.0,7688.0
Sonoma State University,CA,24739.0,13000,65986.0,5374.0
South Coast College,CA,25025.0,17346,44897.0,241.0
Vanguard University of Southern California,CA,50178.0,15000,59541.0,1975.0
Southwestern College,CA,19717.0,4044,40060.0,16640.0
Southern California Institute of Architecture,CA,67014.0,33250,71909.0,236.0
University of Southern California,CA,84678.0,16112,92498.0,20817.0
Taft College,CA,13012.0,PS,38861.0,3216.0
Thomas Aquinas College,CA,40000.0,18000,55619.0,539.0
Ventura College,CA,9762.0,6500,43430.0,9971.0
Victor Valley College,CA,11786.0,7500,36119.0,12107.0
Berkeley City College,CA,17110.0,9500,41217.0,4541.0
Coalinga College,CA,17249.0,5500,37633.0,2177.0
West Los Angeles College,CA,15839.0,9500,38537.0,7277.0
West Valley College,CA,13351.0,7000,51688.0,6086.0
Westmont College,CA,68826.0,19343,64778.0,1310.0
Whittier College,CA,63925.0,18125,59492.0,812.0
Woodbury University,CA,58180.0,21500,65668.0,825.0
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,27600.0,PS,48361.0,157.0
Yuba College,CA,12200.0,6000,39552.0,4311.0
Adams State University,CO,23800.0,11750,44372.0,1239.0
Aims Community College,CO,14478.0,5250,41887.0,3182.0
Arapahoe Community College,CO,16348.0,6500,48341.0,5392.0
Bel-Rea Institute of Animal Technology,CO,29807.0,11666,39506.0,161.0
University of Colorado Denver/Anschutz Medical Campus,CO,23369.0,14500,64270.0,10686.0
University of Colorado Colorado Springs,CO,23713.0,12965,54659.0,8870.0
Spartan College of Aeronautics and Technology,CO,33357.0,14750,59093.0,321.0
University of Colorado Boulder,CO,33466.0,13000,69738.0,31578.0
Colorado Christian University,CO,50206.0,14000,50416.0,5363.0
Colorado College,CO,83228.0,13400,65222.0,2139.0
Colorado Mountain College,CO,13717.0,5500,44127.0,2821.0
Colorado Northwestern Community College,CO,21006.0,8250,43526.0,500.0
Colorado School of Mines,CO,38556.0,17500,97335.0,5801.0
Colorado State University-Fort Collins,CO,29696.0,14750,60543.0,25148.0
Colorado Technical University-Colorado Springs,CO,21694.0,12166,37180.0,25932.0
Community College of Aurora,CO,16210.0,6500,44592.0,3346.0
Community College of Denver,CO,18377.0,5500,39095.0,5156.0
University of Denver,CO,75020.0,18000,71155.0,6059.0
Fort Lewis College,CO,25558.0,9000,46349.0,3070.0
Front Range Community College,CO,18087.0,7000,45910.0,11132.0
Lamar Community College,CO,19366.0,5973,38719.0,406.0
Colorado Mesa University,CO,22883.0,11000,45823.0,7604.0
Metropolitan State University of Denver,CO,22825.0,12500,52093.0,14932.0
Morgan Community College,CO,15797.0,5500,39429.0,619.0
Naropa University,CO,52900.0,14750,28720.0,368.0
Northeastern Junior College,CO,20246.0,5500,39893.0,825.0
University of Northern Colorado,CO,26989.0,13805,52231.0,5693.0
Otero College,CO,20413.0,6000,39018.0,642.0
Pikes Peak State College,CO,18345.0,4900,40796.0,9307.0
Pueblo Community College,CO,19251.0,5750,37434.0,3293.0
Red Rocks Community College,CO,18048.0,4900,46288.0,4281.0
Regis University,CO,54889.0,19750,72105.0,2599.0
Rocky Mountain College of Art and Design,CO,33950.0,9500,42958.0,1878.0
Colorado State University Pueblo,CO,23891.0,14475,55563.0,3028.0
Pickens Technical College,CO,11474.0,PS,39210.0,646.0
Trinidad State College,CO,21373.0,6500,36475.0,1168.0
Western Colorado University,CO,25426.0,12000,46833.0,1653.0
Albertus Magnus College,CT,56268.0,25000,60144.0,882.0
University of Bridgeport,CT,52786.0,19500,50323.0,1450.0
Central Connecticut State University,CT,24112.0,16750,58562.0,7670.0
Charter Oak State College,CT,22558.0,12422,64209.0,1620.0
